Partlist

Exported from ABK-ECS - Rev A2.brd at 2017-09-08 3:27 PM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value            Package             Library                                      Position (mm)         Orientation

C1       10uF             CT3216              rcl                                          (43.485 32.893)       MR0
C2       0.1uF            C0603               rcl                                          (47.422 30.861)       MR90
C3       0.1uF            C0603               rcl                                          (48.565 17.78)        R0
C4       0.1uF            C0603               rcl                                          (38.405 8.89)         MR0
C5       18pF             C0603               rcl                                          (41.58 17.78)         R270
C6       0.1uF            C0603               rcl                                          (39.7385 34.163)      MR270
C7       0.1uF            C0603               rcl                                          (46.533 37.592)       MR0
C8       0.1uF            C0603               rcl                                          (47.549 34.925)       MR270
C9       0.1uF            C0603               rcl                                          (39.802 37.338)       MR0
C10      18pF             C0603               rcl                                          (44.12 17.78)         R270
C11      0.1uF            C0603               rcl                                          (39.8655 29.464)      MR270
C12      2.2uF            C0603               rcl                                          (80.061 26.67)        R180
C13      2.2uF            C0603               rcl                                          (79.9975 8.89)        R180
C14      1000pF           C0603               rcl                                          (86.665 26.035)       R0
C15      1000pF           C0603               rcl                                          (86.665 7.62)         R0
C16      2.2uF            C0603               rcl                                          (79.299 39.37)        R180
C17      2.2uF            C0603               rcl                                          (79.172 21.082)       R180
C18      22uF             C0805               rcl                                          (77.775 29.21)        R0
C19      22uF             C0805               rcl                                          (77.775 11.43)        R0
C20      1u               C0603               rcl                                          (15.8875 12.3825)     R180
C21      1u               C0603               rcl                                          (11.4425 12.3825)     R0
C22      0.1uF            C0603               rcl                                          (91.745 53.34)        R0
C23      0.1uF            C0603               rcl                                          (18.745 50.8)         MR270
C24      0.1uF            C0603               rcl                                          (37.16 50.8)          MR270
D1       MBRS140          DO-214AA            diode                                        (78.41 36.195)        R0
D2       MBRS140          DO-214AA            diode                                        (78.41 17.78)         R0
D3       STPS3L40UF       SMB                 diode                                        (91.11 15.24)         R0
D4       STPS3L40UF       SMB                 diode                                        (9.525 23.495)        MR0
D5       STPS3L40UF       SMB                 diode                                        (88.9 68.5925)        MR270
D6       1N4148WS         SOD323-W            diode                                        (44.755 69.85)        MR270
D7       1N4148WS         SOD323-W            diode                                        (67.615 69.85)        MR270
D8       1N4148WS         SOD323-W            diode                                        (71.425 69.85)        MR270
D9       1N4148WS         SOD323-W            diode                                        (75.235 69.85)        MR270
D10      1N4148WS         SOD323-W            diode                                        (79.045 69.85)        MR270
D11      1N4148WS         SOD323-W            diode                                        (48.565 69.85)        MR270
D12      1N4148WS         SOD323-W            diode                                        (52.375 69.85)        MR270
D13      1N4148WS         SOD323-W            diode                                        (56.185 69.85)        MR270
D14      1N4148WS         SOD323-W            diode                                        (59.995 69.85)        MR270
F1       1812L110/24DR    LITTLEFUSE_SMD      fuse2                                        (91.745 25.4)         R270
J1       22-27-2061-06    6410-06             con-molex                                    (10.465 18.415)       R0
J2       USB-B-S-RA       USB-B-S-RA          con-multicomp                                (60.63 4.445)         R0
J3       1241050-5        2.54/2X5            con-amp                                      (25.705 9.525)        R0
J4       MSTBA2           MSTBA2              con-phoenix-508                              (98.095 40)           R90
J5       22-05-7068-06    7395-06             con-molex                                    (33.02 74.93)         R180
J6       22-05-7028-02    7395-02             con-molex                                    (88.9 74.93)          R180
J7       22-05-7068-06    7395-06             con-molex                                    (16.51 74.93)         R180
J8       22-05-7068-06    7395-06             con-molex                                    (76.2 74.93)          R180
J9       22-05-7028-02    7395-02             con-molex                                    (45.72 74.93)         R180
J10      22-05-7068-06    7395-06             con-molex                                    (58.42 74.93)         R180
